id,reduced_formula,spacegroup
concdvae_cifs/eval_gen_FM0_0001.cif,YbPrAl2SiAgHg,1
concdvae_cifs/eval_gen_FM0_0002.cif,Pm2Pr3DyZnIn7SiNi9,1
concdvae_cifs/eval_gen_FM0_0003.cif,Li4Ca2CeYMg2(CoSi)2,1
concdvae_cifs/eval_gen_FM0_0004.cif,LiMg4U4FeGe4(BiRh2)2,1
concdvae_cifs/eval_gen_FM0_0005.cif,Ac2Fe(SnI)2,1
concdvae_cifs/eval_gen_FM0_0006.cif,La4GdSiGeRu2C,1
concdvae_cifs/eval_gen_FM0_0007.cif,Er3Mg(TlSb)2,1
concdvae_cifs/eval_gen_FM0_0008.cif,RbAlCuCl2,1
concdvae_cifs/eval_gen_FM0_0009.cif,Mg4TiGaHg4,1
concdvae_cifs/eval_gen_FM0_0010.cif,Na2LiAc2CrInGa3Hg2,1
concdvae_cifs/eval_gen_FM0_0011.cif,CaPm2Mn(InPb)2,1
concdvae_cifs/eval_gen_FM0_0012.cif,Ba2Ce2InRh2C5,1
concdvae_cifs/eval_gen_FM0_0013.cif,Ho2Mg3Ni6AgSn4,1
concdvae_cifs/eval_gen_FM0_0014.cif,SrEuNb4Al4C2S,1
concdvae_cifs/eval_gen_FM0_0015.cif,Na2La4Mg2Tl2HgPbC,1
concdvae_cifs/eval_gen_FM0_0016.cif,Pm2YMgGaCo4,1
concdvae_cifs/eval_gen_FM0_0017.cif,Li3PmU2(InPd2)2,1
concdvae_cifs/eval_gen_FM0_0018.cif,KRb2NaNd2Mg4Ga2Ru2CI2N3,1
concdvae_cifs/eval_gen_FM0_0019.cif,SrLi2In3Sb2,1
concdvae_cifs/eval_gen_FM0_0020.cif,Li2Pm2MgHg5N,1
concdvae_cifs/eval_gen_FM0_0021.cif,Sr2LuMgIn3Ag2Hg,1
concdvae_cifs/eval_gen_FM0_0022.cif,Dy2Y5Th2MgAlTlInGaAgBi3Pd5Ru2PbW2,1
concdvae_cifs/eval_gen_FM0_0023.cif,CaEu2(MgSi)2,1
concdvae_cifs/eval_gen_FM0_0024.cif,Tb4SmTiAlSn(GeC)2,1
concdvae_cifs/eval_gen_FM0_0025.cif,PrMgGaNi2Sn5Sb4,1
concdvae_cifs/eval_gen_FM0_0026.cif,LaDyPu2Sn2GeAu,1
concdvae_cifs/eval_gen_FM0_0027.cif,Li3Mn(BiTe)2,1
concdvae_cifs/eval_gen_FM0_0028.cif,Ba2CaMgTlSnHg,1
concdvae_cifs/eval_gen_FM0_0029.cif,Th2ScAl2NiW2,1
concdvae_cifs/eval_gen_FM0_0030.cif,Li2Ta2Ti(Co3Hg)2,1
concdvae_cifs/eval_gen_FM0_0031.cif,Li2Ca5Mg2Nb3AlFe(Ni2Ir3)2,1
concdvae_cifs/eval_gen_FM0_0032.cif,Tb2Sm2Mg3Al5,1
concdvae_cifs/eval_gen_FM0_0033.cif,NdMg2TcSb,1
concdvae_cifs/eval_gen_FM0_0034.cif,Ce2Y2Th2Tl4Pb2C3,1
concdvae_cifs/eval_gen_FM0_0035.cif,VCr3Ga2Ni7Bi8Rh3,1
concdvae_cifs/eval_gen_FM0_0036.cif,NdMgInSiHg,1
concdvae_cifs/eval_gen_FM0_0037.cif,Na4ZnCu6Ag4GeS10,1
concdvae_cifs/eval_gen_FM0_0038.cif,La2YbZnInAg,1
concdvae_cifs/eval_gen_FM0_0039.cif,Pa2Mn3Co3Bi3TeRh4,1
concdvae_cifs/eval_gen_FM0_0040.cif,Ac2MgSn,1
concdvae_cifs/eval_gen_FM0_0041.cif,SmMgCdNiBi2,1
concdvae_cifs/eval_gen_FM0_0042.cif,HoLuMg2Be5Fe2SiNi6,1
concdvae_cifs/eval_gen_FM0_0043.cif,Na2Y4HoMgScCdCo3HgI4,1
concdvae_cifs/eval_gen_FM0_0044.cif,MgCd2GeBi4,1
concdvae_cifs/eval_gen_FM0_0045.cif,AcLa7Ce5C8,1
concdvae_cifs/eval_gen_FM0_0046.cif,Li2Ac(TiC)2,1
concdvae_cifs/eval_gen_FM0_0047.cif,Li2Mg4ReHg2Rh4Pb3,1
concdvae_cifs/eval_gen_FM0_0048.cif,ErAlFeSiAg,1
concdvae_cifs/eval_gen_FM0_0049.cif,Li2Ca2Y2Al2Tl2NiP4Ru,1
concdvae_cifs/eval_gen_FM0_0050.cif,Sr2Tl6In4GaCu2AgRh2,1
concdvae_cifs/eval_gen_FM0_0051.cif,KRbTm4Ni4PdCl5,1
concdvae_cifs/eval_gen_FM0_0052.cif,Mg5Cu2NiHg(Sb2Ir)4,1
concdvae_cifs/eval_gen_FM0_0053.cif,LiCeThMgSiTe4,1
concdvae_cifs/eval_gen_FM0_0054.cif,RbYbTm2MgBeTlZn2CdCu2AgPPdS7,1
concdvae_cifs/eval_gen_FM0_0055.cif,Mg2ZrAl(NiTe)2,1
concdvae_cifs/eval_gen_FM0_0056.cif,KCaAcTl2Cd2Ga(HgRh)2,1
concdvae_cifs/eval_gen_FM0_0057.cif,Li5Tm(BeAl2)2,1
concdvae_cifs/eval_gen_FM0_0058.cif,SrGa3NiHg,1
concdvae_cifs/eval_gen_FM0_0059.cif,LiDy2Mg2Cd2Ag2Hg,1
concdvae_cifs/eval_gen_FM0_0060.cif,GdU2Ti3AlFe2Co2SnGe6,1
concdvae_cifs/eval_gen_FM0_0061.cif,NdYHf4V2(BiW)2,1
concdvae_cifs/eval_gen_FM0_0062.cif,SrCeMg2AlNi2MoN3,1
concdvae_cifs/eval_gen_FM1_0001.cif,Y2CdIn2AsSe(ICl)2,1
concdvae_cifs/eval_gen_FM1_0002.cif,Ca2ScBi2AuSe2,1
concdvae_cifs/eval_gen_FM1_0003.cif,YbPmTa2GePt(SeBr)2,1
concdvae_cifs/eval_gen_FM1_0004.cif,Cs2Nb2Cr6SiAsS18,1
concdvae_cifs/eval_gen_FM1_0005.cif,YbCeEu2P4Pt3Au2,1
concdvae_cifs/eval_gen_FM1_0006.cif,Na2SiNiHg2(WS5)2,1
concdvae_cifs/eval_gen_FM1_0007.cif,KRb2Cu2Pd2Se2(SI)2,1
concdvae_cifs/eval_gen_FM1_0008.cif,Rb3LaCe2ZnCu3PC2Se5N8,1
concdvae_cifs/eval_gen_FM1_0009.cif,RbBa2Ca2In2CuSn2Ge2Pt3I7N,1
concdvae_cifs/eval_gen_FM1_0010.cif,YbSmDyInGaCuGe4(PtS)5,1
concdvae_cifs/eval_gen_FM1_0011.cif,KSmDy2VSi3Ni4BPHS4I,1
concdvae_cifs/eval_gen_FM1_0012.cif,GdLuSb2(PdSe2)2,1
concdvae_cifs/eval_gen_FM1_0013.cif,Ca4La4TlP(RhS5)2,1
concdvae_cifs/eval_gen_FM1_0014.cif,LaDyY2Cu4Ni2P4S4O,1
concdvae_cifs/eval_gen_FM1_0015.cif,KSm2TlGePdSe2,1
concdvae_cifs/eval_gen_FM1_0016.cif,Er3U2AsPd2Pt3Se4,1
