id,reduced_formula,spacegroup
mp-10009,GaTe,194
mp-1218989,SmThCN,160
mp-1225695,CuNi,65
mp-1220884,NaTiVS4,8
mp-1224266,Ho3TmMn8,8
mp-1002572,LiMnO2,58
mp-626680,Fe(HO)2,164
mp-1228956,AlAu4,12
mp-1219335,Sm(Fe5Mo)2,71
mp-1219027,SmHo3Ni4,6
mp-867922,ScAlRh2,225
mp-4073,Sm(CoB)2,139
mp-11131,K2Hg3(GeS4)2,5
mp-1215627,Zr2VRe3,194
mp-1223834,Hf2AlSi,38
mp-1516449,Eu2CrSbO6,225
mp-1225183,Fe3Te2Se,99
mp-1094830,MgCd5,8
mp-849335,Ti3N2O3,8
mp-758558,SbNO,12
mp-1207672,TmNiAs,194
mp-2452,P2O5,43
mp-12398,Mg(CoGe)6,191
mp-1101094,Cs2CeCl6,164
mp-1218090,Ta3AlFe8,156
mp-972370,Yb2InHg,225
mp-1224851,GaCuGeSe4,82
mp-1222864,LaPr3(GaO3)4,6
mp-1189226,Sm(BOs)4,86
mp-1225753,Eu2MnRhO6,14
mp-3833,Mg(AlSi)2,164
mp-1187801,Y3Lu,194
mp-1221513,Mo2As3P,8
mp-9029,Ca3VN3,63
mp-1206059,Rb2NaCrCl6,225
mp-602328,Ce(InPt)2,11
mp-1113597,Rb2CeCuBr6,225
mp-16965,LaTm(Ge2Ir)2,71
mp-568005,CsYbBr3,221
mp-1226317,CrAgSn(SeS)2,44
mp-1187379,TbSm3,194
mp-1205580,ThSiRu2C,63
mp-1190090,EuAl2Ge,62
mp-867114,TaBeRu2,225
mp-1078849,Ca(GaP)2,194
mp-1212903,ErZnRh,62
mp-1183241,AcPm3,139
mp-505312,Sr2FeCuSO3,129
mp-768203,BeH2,72
mp-863742,Pm2RuRh,225
mp-1025128,LaCuPb,186
mp-1208345,TbCrSe3,62
mp-985296,Ag3Pd,139
mp-625409,Sm(HO)3,11
mp-1178005,Li2Cu4S3,12
mp-1184723,HfZr3,194
mp-1079498,Pr2InCu2,127
mp-643047,Ba3(H6Ir)2,164
mp-1183742,Ce3Ga,194
mp-1077904,CdPb2(ClO)2,12
mp-12748,ThMn2,194
mp-1225266,Fe9B4Ir3,6
mp-1206085,MnCuF6,2
mp-34127,K2NaAs,194
mp-555560,CdTeMoO6,113
mp-1079397,HoZnSn2,129
mp-1187511,TiRe2Mo,225
mp-1205770,ErMgTl,189
mp-1279484,NiAgO2,12
mp-1111218,K2NaYCl6,225
mp-972063,YbGe3,194
mp-1520921,BaTbEuSbO6,2
mp-1205683,Cs2KCrCl6,225
mp-1220892,NaTi3Nb(CuO4)3,148
mp-1025331,In2AgSe4,82
mp-978949,Sm3Ho,221
mp-568802,KBi(PSe3)2,4
mp-567510,BaSn2,164
mp-1224282,HfSeS,156
mp-1212739,EuGa3(BO3)4,155
mp-1184270,EuHg2Bi,225
mp-1102452,ZrFeSi,62
mp-9632,CsReF6,148
mp-972640,SmDyZn2,225
mp-1223856,InGa(AgTe2)2,82
mp-1025222,ZnPd5Se,123
mp-1190224,ZnCu2SnS4,31
mp-1077536,ZnSb2,118
mp-1215208,ZrTi3As2,107
mp-767409,Li5SbS,123
mp-755040,Cu2O3,14
mp-1236924,K3RhF6,2
mp-1224485,Hf2Se3,9
mp-1211616,K5(TmI4)3,189
mp-976876,K2PtC2,164
mp-1220283,Nd2PdRu3,166
mp-1220149,NdAlCo4,187
mp-983062,K3Cd,225
mp-19755,Li(TiS2)3,164
mp-1223853,K2Zr(PO4)2,147
mp-1113037,Cs2KPdF6,225
mp-1080691,Rb2SnHgTe4,121
mp-1025044,AlNi2,164
mp-1025578,Te2W3(SeS)2,156
mp-1220259,NdGa2Co3,191
mp-1025280,Sr2Cu(OF)2,139
mp-1183582,CaYbPb2,225
mp-1521619,CaEuNbFeO6,216
mp-1102836,BiIrS,198
mp-7751,PuPt5,191
mp-865568,ThScTc2,225
mp-1207089,LuIn,123
mp-1220596,Nb4AgS8,160
mp-865857,YbNbRu2,225
mp-1223742,HoCuGe,187
mvc-3998,CaNiO3,62
mp-13018,UCo4Sn,216
mp-1105630,LaGa2Co3,191
mp-862548,Sc2AlZn,225
mp-571461,K4ZnAs2,166
mp-1112171,KInBr3,225
mp-1520691,Eu2HfZrO6,225
mp-1207090,CuSnPd2,123
mp-1215637,YbGaCu4,187
mp-1212916,Eu3Al2O7,139
mp-1187314,Tb3Y,221
mp-1022963,IrO3,38
mp-7808,BaP3,12
mp-1094982,LiMg,187
mp-1206373,LiHfSe2,164
mp-1103481,Er3(FeGe)4,71
mp-1080439,P4Ru,14
mp-5381,U2PN2,164
mp-30160,Si(CN2)2,224
mp-7791,Li2GeF6,136
mp-1225220,EuGaAg,12
mp-494,GeMo3,223
mp-3772,Cd(GaSe2)2,82
mp-1211671,La3Ge5,43
mp-34433,Mg2TcO4,74
mp-1112445,K2TlAgBr6,225
mp-1183366,BaCd3,63
mp-1208573,Tb12Co5Bi,71
mp-866185,CeCdAu2,225
mp-1208241,Ti4FeSe8,12
mp-12455,TmCuS2,62
mp-548469,BaZnSO,63
mp-1187270,Tb2ZnIr,225
mp-21383,Eu(SiRh)2,139
mp-30673,Ti2Ga3,83
mp-18821,Y5(MoO6)2,12
mp-1303766,Li2MnCoO4,1
mp-1223845,K(SiPd)4,79
mp-1212638,Gd2Cu(GeO3)4,2
mp-606711,Cs3LiCl4,38
mp-1106337,MnPbO3,13
mp-1111671,K2LiInF6,225
mp-777448,Li2VF4,13
mp-1224999,FeCoB2,26
mp-567614,Tb2Co2I,194
mp-3597,BaRuO3,194
mp-29658,ZrNiH3,63
mp-3972,Ce2SO2,164
mp-1189857,MnO2,84
mp-1101099,Ti2S3,12
mp-4374,UAsS,129
mp-1102310,HfCoGe,62
mp-1219140,Sm3YS4,12
mp-1520763,BaSrEuWO6,90
mp-1213732,CrSn4Au,124
mp-1080606,La(SiPt)2,129
mp-20000,Nd(NiSn)2,129
mp-11778,ThMnSe3,63
mp-1271286,CoF3,127
mp-1190131,LaScS3,62
mp-1225783,Cu3Ag3(PS4)2,1
mp-753048,TiSnO4,8
mp-3077,SmAlGe,109
mp-23164,Bi2Se3,62
mp-11360,ScGaCu2,225
mp-1079836,GaSi3C3N,6
mp-1220080,NiGe2Pd,26
mp-567628,Rb2LiDyBr6,225
mp-2066,EuCu5,191
mp-1206533,DyCr2Si2C,123
mp-1025510,FeCu2SiSe4,121
mp-19272,TbCrO4,141
mp-754836,V6O7F5,1
mp-1216751,TiNbGaO6,102
mp-557426,CaMnF5,15
mp-1218310,SrEu(CoO3)2,123
mp-2698,YCu2,74
mp-765552,Li2MnCoO4,15
mp-1186185,NaTl2In,225
mp-1210574,Lu5(ReO6)2,12
mp-1247428,Ca3ReN3,176
mp-1025155,LuGa5Co,123
mp-31347,YInRh,189
mp-1221194,Na4Al3FeO8,1
mp-569843,MnBr2,166
mp-1217683,Tb2Al3Pt,166
mp-1523327,Sr2GdSbO6,225
mp-1112026,K2TlHgBr6,225
mp-1079460,Ti3Sn,63
mp-31138,MnPd3,139
mp-865745,GdCdHg2,225
mp-22170,Li4PbO4,63
mp-4052,Rb2Mn3Se4,72
mp-1185790,Mg3Sc,221
mp-9986,CsAuO,139
mp-753663,BaYBr5,15
mp-865766,YbHgPd2,225
mp-1077095,LuCdNi4,216
mp-1186030,Na3Au,194
mp-21235,Mn2VGa,225
mp-976843,Li2Mg,12
mp-19241,BaNiO3,186
mp-1095465,YGeRh,62
mp-1112542,CsTlI3,225
mp-1225244,Eu2Si4IrPd3,115
mp-1206113,UFeSi2,63
mp-1190038,Tm5Tl3,193
mp-22759,CoBW,62
mp-1187965,Yb2TlIn,225
mp-1101755,GePtS,29
mp-20534,GdMg3,225
mp-1218811,Sr2HoCu2RuO8,38
mp-1111924,K2LiPdF6,225
mp-757058,Mn2F7,2
mp-1226282,Cr4InCuS8,160
mp-1185844,MgAu2,63
mp-861886,LiDyHg2,225
mp-1071877,UCu4Pd,216
mp-1094088,NbCoSn,216
mp-1209861,Nd3HfSb5,193
mp-1221342,MnNiP2,26
mp-1147739,Ba(CuO)4,125
mp-866111,Ho2IrRu,225
mp-12017,CeAl4Ge2Au,166
mp-35876,Ca(NdS2)2,122
mp-2403,YPt3,221
mp-1103172,CaCdPd,62
