formula,n_atom,a,b,c,alpha,beta,gamma,density,unique_elems,is_dup,cif_path,source
Rb2BaNa2AcLaMg2ScMn2Tl2Fe2CuSiNiHgN,21,3.5689690099999996,5.675728799999999,6.40948486,91.83692169,90.69073486,92.64938354000002,23.17501489412324,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0001.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0001.cif
Li4YMg2Sc3Cr2Cu7ReSi3MoP5Pd5W4C3,41,3.44496751,4.3664464999999995,4.41598129,85.18354797,76.65918732,76.65068054,70.63667686470852,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0002.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0002.cif
LiLaDyMg3ZrScMn2Al7VZnInGaFe4Re2Tc2Ni3,32,4.03261471,4.08662224,4.66585588,75.85462189,77.90901184,78.45697784000001,48.08407366109474,16,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0003.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0003.cif
K2BaSrPr2Mg9TiNbZn2Te6AuC2SI,30,3.1371159599999996,3.52008033,4.38196707,104.63554382,98.77011871,110.98785400000001,87.59121311224577,13,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0004.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0004.cif
CaYTh4Mg2U2Zn4InHg5(Sb2Te)2,26,4.9168067,6.500179290000001,7.87468386,89.23338318,88.90578460999998,91.15285492000001,24.446800899888235,10,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0005.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0005.cif
BaLi2Ca2YbNdEuYGaFe3Sn6Mo3Os6PtI2Br,32,4.45434713,4.52607012,4.4316659,77.37392426,73.87637328999999,68.74763489,77.41862849875197,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0006.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0006.cif
Rb2Na2AcLa2Eu2ScBe2AlFeSiNi2AgHgBi2,21,3.5689690099999996,5.67572832,6.40948486,91.83692169,90.69073486,92.64938354000002,26.177757967170134,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0007.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0007.cif
Rb2BaNa2AcLaGdMg2Mn2Tl2Fe2SiNi2HgGe,21,3.5689690099999996,5.67572832,6.40948486,91.83692169,90.69073486,92.64938354000002,25.30263128061058,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0008.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0008.cif
Rb2BaNa2AcLaMg2ScMn2Fe2SiNi2HgBi2N,21,3.5689690099999996,5.67572832,6.40948486,91.83692169,90.69073486,92.64938354000002,23.2306378842224,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0009.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0009.cif
Rb2BaNa2AcLaMg2ScMn2Tl2Fe2SiNi2HgN,21,3.5689690099999996,5.67572832,6.40948486,91.83692169,90.69073486,92.64938354000002,23.112849309591248,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0010.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0010.cif
Li2Ca3EuGdTi4Tl2Cd3Ga2CoCuAg8Hg2Sb4Ru5Pb,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,36.28359813282796,15,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0011.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0011.cif
NaLi2Ca2SmEu2Mg2Ti4In2Ga2Co2Cu3Ag2Hg4Sb6Ru4Pb,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,34.00995825808048,16,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0012.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0012.cif
Li2Ca2PmGdMg2Ti6Tl4Cd2Co5CuAg5Sb6RuPb2,40,4.53447056,6.23771715,6.96270227,84.41940308,78.29293823,77.43684387,34.61893469140396,14,0,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_full_no_filters/cif_clean/eval_gen_FM0_0013.cif,/mnt/tank/scratch/kkapranova/con_cdvae_project/outputs/processed_20251001_011849/cif_all/eval_gen_FM0_0013.cif
